system:index,Date,ElevationBin,MeanBackscatter,.geo
1_1_1_1_1_1_2_7_13,2020-04-01,1333-1383,-2.8484310354085056,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_7_14,2020-04-01,1383-1433,0.5284561720224288,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_0,2020-04-13,683-733,-25.417615809505044,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_1,2020-04-13,733-783,-25.96023119456404,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_2,2020-04-13,783-833,-25.509557567033653,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_3,2020-04-13,833-883,-25.49248455501931,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_4,2020-04-13,883-933,-24.63544299474703,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_5,2020-04-13,933-983,-22.074625218003458,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_6,2020-04-13,983-1033,-18.81780813818345,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_7,2020-04-13,1033-1083,-16.404247840083272,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_8,2020-04-13,1083-1133,-16.498966539413296,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_9,2020-04-13,1133-1183,-15.71038157654448,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_10,2020-04-13,1183-1233,-12.985185043732612,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_11,2020-04-13,1233-1283,-14.600716248788077,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_12,2020-04-13,1283-1333,-13.897593962499604,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_13,2020-04-13,1333-1383,-10.761691568201334,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_14,2020-04-13,1383-1433,-5.509052242988042,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_0,2020-04-25,683-733,-26.098762730742063,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_1,2020-04-25,733-783,-26.322614628680448,"{""type"":""MultiPoint"",""coordinates"":[]}"
