system:index,Date,ElevationBin,MeanBackscatter,.geo
1_1_1_1_1_1_2_8_2,2020-04-13,733-783,-26.27619477178568,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_3,2020-04-13,783-833,-26.182269989468466,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_4,2020-04-13,833-883,-26.041275740726128,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_5,2020-04-13,883-933,-25.505723150650326,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_6,2020-04-13,933-983,-24.443423070237838,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_7,2020-04-13,983-1033,-22.317579053970746,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_8,2020-04-13,1033-1083,-20.33805804809364,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_9,2020-04-13,1083-1133,-18.547269454413545,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_10,2020-04-13,1133-1183,-16.738661448900412,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_11,2020-04-13,1183-1233,-15.027666944245047,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_12,2020-04-13,1233-1283,-13.832154355869339,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_13,2020-04-13,1283-1333,-12.870885123093402,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_14,2020-04-13,1333-1383,-11.050761896324312,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_8_15,2020-04-13,1383-1433,-8.189894896343327,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_0,2020-04-25,633-683,-25.9923994462685,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_1,2020-04-25,683-733,-25.980802738148935,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_2,2020-04-25,733-783,-26.389863873325936,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_3,2020-04-25,783-833,-26.295363230026588,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_4,2020-04-25,833-883,-26.249736283007486,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_5,2020-04-25,883-933,-26.150611770248222,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_6,2020-04-25,933-983,-25.713865590366105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_7,2020-04-25,983-1033,-24.84383584508052,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_8,2020-04-25,1033-1083,-22.728474716135825,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_9,2020-04-25,1083-1133,-20.27907117591111,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_10,2020-04-25,1133-1183,-18.65831016285417,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_11,2020-04-25,1183-1233,-16.63796478910178,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_12,2020-04-25,1233-1283,-15.25317479118071,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_13,2020-04-25,1283-1333,-13.815606645535178,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_14,2020-04-25,1333-1383,-11.697532656884439,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_15,2020-04-25,1383-1433,-10.331781563890138,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_0,2020-05-07,633-683,-24.91255145401465,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_1,2020-05-07,683-733,-26.00468584644245,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_2,2020-05-07,733-783,-26.304334962824107,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_3,2020-05-07,783-833,-26.240772916914466,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_4,2020-05-07,833-883,-26.10441588647491,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_5,2020-05-07,883-933,-25.991776295707865,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_6,2020-05-07,933-983,-25.408434287099208,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_7,2020-05-07,983-1033,-23.65039326472004,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_8,2020-05-07,1033-1083,-20.40887528501644,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_9,2020-05-07,1083-1133,-17.082502215981833,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_10,2020-05-07,1133-1183,-14.403566229829558,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_11,2020-05-07,1183-1233,-11.409699050917073,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_12,2020-05-07,1233-1283,-9.69968164262448,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_13,2020-05-07,1283-1333,-8.620392265634914,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_14,2020-05-07,1333-1383,-6.479862829817681,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_15,2020-05-07,1383-1433,-4.6622482515088475,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_0,2020-05-19,633-683,-24.653089557930482,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_1,2020-05-19,683-733,-25.56598111514311,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_2,2020-05-19,733-783,-25.808704565420975,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_3,2020-05-19,783-833,-26.00047327050053,"{""type"":""MultiPoint"",""coordinates"":[]}"
